x,y,token
46.252926,27.566591,obliged
33.9328,37.438076,selfishness
17.889862,45.97303,able
1.6772999,46.30564,suppose
12.56761,50.19516,feel
15.0533495,39.959892,differently
42.661552,36.985264,disposed
-3.5008457,31.919912,done
-10.569694,-2.9969287,sad
7.994797,24.136862,thing
12.789398,38.595085,great_deal
16.571323,43.19791,happier
34.90708,-15.796678,if
51.480896,15.135873,spent
-7.507979,9.618544,rest
41.260418,10.86318,smiled
7.9364963,43.38422,cheerfully
-36.332966,17.889767,keep
-13.9178,14.337592,thoughts
56.90638,5.886481,tea
-0.326547,45.81753,say
14.883282,25.456282,exactly
55.487026,-13.822961,said
-4.956103,35.360744,poor
-4.508138,45.03988,!--
23.75784,50.91136,pity
34.370464,-2.3489172,is
-4.5909615,45.160515,"!"""
-0.8542197,55.850166,cannot
5.7578197,44.350296,agree
-5.2368655,40.73222,you
-0.2990747,50.513714,papa
1.4287412,45.78832,know
4.169866,45.159866,good
19.744665,28.30674,humoured
18.373917,36.48294,thoroughly
2.2152832,41.08729,deserves
-63.98782,10.265997,wife
23.30161,42.291798,;--
-21.764734,26.003046,live
-3.5142682,39.00083,us
-4.648363,41.43505,my
16.373404,26.130472,odd
-0.09904241,57.11099,might
-1.8936718,47.165543,"?"""
13.368142,-39.112988,where
26.509516,38.107155,advantage
-14.805475,-22.43476,three
7.479555,4.7052197,times
-0.17929174,51.03355,dear
56.81658,-18.089241,"."""
10.871711,33.45743,often
-4.522655,39.681522,we
-1.3824346,55.73745,shall
35.282665,-8.627636,see
51.26219,3.7750208,coming
50.08992,22.331861,meeting
0.9106302,41.99487,begin
-7.1281805,36.820744,go
6.422724,50.343,pay
-7.8310604,45.473866,am
-7.146276,36.81753,get
15.139491,-12.519927,far
52.99037,25.354502,randalls
3.1843708,-35.620636,distance
-26.263605,8.109977,walk
5.2735987,47.87453,nobody
-4.960512,41.30029,your
23.99492,-22.717297,walking
55.59901,2.3158734,carriage
9.048408,40.29231,sure
-62.347515,6.1018763,james
-1.2924713,55.669895,will
25.534296,-26.287563,like
44.349594,-26.185822,put
-20.810062,-27.0876,horses
29.589935,-15.696466,are
20.694921,-23.844748,while
48.657726,27.591002,paying
-3.8133585,39.041744,our
28.460524,-30.119669,into
45.714176,-21.342253,stable
43.557625,17.546976,already
0.4508174,19.111753,talked
-12.664199,-5.739003,night
-0.85749847,56.149654,may
0.32674953,33.104954,because
23.748116,50.728745,doubt
10.602016,18.265833,whether
-9.2108755,36.533424,take
0.20537847,34.78096,anywhere
5.2671485,46.80477,else
54.571453,-22.819405,got
-60.039635,1.64172,hannah
43.199528,20.658064,mentioned
8.968657,40.285175,glad
13.02199,36.595623,lucky
24.272148,45.575924,slighted
27.000679,-26.233864,upon
22.767765,34.94336,account
-8.462635,38.514927,make
-49.16306,21.806314,servant
37.973827,0.7353393,pretty
-40.86668,9.446693,spoken
45.8737,-5.9293666,girl
31.331842,42.896698,opinion
38.98736,-3.1435165,whenever
0.7147065,39.36003,asks
-4.4810843,41.271442,me
0.24522586,45.430737,do
2.164996,17.664564,manner
-34.10114,-37.448338,needlework
-28.382801,34.601746,observe
14.162807,-40.943924,turns
23.519562,-38.2518,lock
